ticker,SWIndustry1,SWIndustry2,SWIndustry3
002813.SZ,801880.SI,801093.SI,850921.SI
002815.SZ,801080.SI,801083.SI,850822.SI
002816.SZ,801890.SI,801074.SI,850727.SI
002817.SZ,801150.SI,801155.SI,851521.SI
002818.SZ,801200.SI,801205.SI,852052.SI
002819.SZ,801890.SI,801073.SI,850731.SI
002820.SZ,801120.SI,801124.SI,851244.SI
002821.SZ,801150.SI,801151.SI,851511.SI
002822.SZ,801720.SI,801722.SI,857221.SI
002823.SZ,801730.SI,801731.SI,850741.SI
002824.SZ,801050.SI,801055.SI,850551.SI
002825.SZ,801030.SI,801036.SI,850351.SI
002826.SZ,801150.SI,801155.SI,851521.SI
002827.SZ,801030.SI,801034.SI,850337.SI
002828.SZ,801020.SI,801024.SI,850241.SI
002829.SZ,801740.SI,801741.SI,857411.SI
002830.SZ,801720.SI,801722.SI,857221.SI
002831.SZ,801140.SI,801141.SI,851421.SI
002832.SZ,801130.SI,801132.SI,851327.SI
002833.SZ,801890.SI,801074.SI,850727.SI
002835.SZ,801750.SI,801101.SI,851021.SI
002836.SZ,801140.SI,801141.SI,851421.SI
002837.SZ,801890.SI,801074.SI,850727.SI
